id;marca;nomeDaPeca;precoComDesconto;precoSemDesconto;Descricao;Tamanho;Condicao;Cores;DisponÌvel;Data;Status
13949;Iodice;Short Iodice;28.00;28.00;Short estampado com barras cortadas e dobradas. Possui tecido com elasticidade.;PP;Vintage;;VENDIDO;34:08.2;VERIFICADO
14613;Weavers;Top Listrado;29.00;29.00;Top listrado com elasticidade.;PP;Vintage;;VENDIDO;20:00.0;VERIFICADO
13952;Chenze;Trench Coat Moletom;70.00;70.00;Trench coat de moletom com botıes e bolsos na frente.;G;Vintage;;VENDIDO;52:21.1;VERIFICADO
13953;Mark Stevens;Trench Coat L„;100.00;100.00;Trench coat de l„ com forro, fileira dupla de botıes e bolsos. N„o acompanha cinto.;M;Vintage;;VENDIDO;18:17.7;VERIFICADO
13956;Blue Steel;Cropped de Tricot;35.00;35.00;Cropped de tricot listrada com mangas dobradas.;PP;Vintage;;VENDIDO;33:46.8;VERIFICADO
13959;Luck Berg;Jaqueta Jeans Vermelha;45.00;45.00;Jaqueta jeans com botıes e bolsos na frente.;P;Vintage;;VENDIDO;28:30.4;VERIFICADO
13961;Sem Marca;Short CotelÍ;40.00;40.00;Short de cintura alta em veludo cotele. Possui el·stico na cintura e tecido com elasticidade.;P;Vintage;;VENDIDO;57:24.2;VERIFICADO
13964;La Crest;Short Alto La Crest;50.00;50.00;Short jeans de cintura alta com detalhes em floral. Possui as barras das pernas mais abertas, sendo fotografado com elas dobradas.;34;Vintage;;VENDIDO;40:56.4;VERIFICADO
13965;Batman;Cropped Batman;30.00;30.00;Camiseta copped com estampa na frente. Possui gola, mangas e barra cortadas.;M;Vintage;;VENDIDO;34:53.7;VERIFICADO
13967;Sem Marca;Camisa Bordada;42.00;50.00;Camisa de manga comprida com bordados.;P;Vintage;;VENDIDO;54:47.6;VERIFICADO
13968;Beach Line;Saia Pin-up;39.00;45.00;Saia de malha estampada.;P;Vintage;;VENDIDO;16:56.8;VERIFICADO
13970;Foxrun;Bomber Jacket GeomÈtrica;78.00;78.00;Jaqueta dupla face com bordados geomÈtricos e zÌper na frente. Sendo usada no ‚Äòavesso‚Äô se apresenta lisa na cor mostarda. Possui bolsos internos e externos, alÈm de forro com preenchimento, deixando ela grossa e fofa, ideal para temperaturas baixas.;U;Vintage;;VENDIDO;17:07.6;VERIFICADO
13971;Sem Marca;Short Xadrez;15.00;40.00;Short xadrez com cinto de cintura mÈdia.;38;Vintage;;DISPONIVEL;14:02.5;VERIFICADO
13973;Zara;Colar Metal Zara;45.00;45.00;Colar de metal com pedras na frente.;U;Novo;;VENDIDO;14:59.4;VERIFICADO
